5252fae6-3def-496e-82c9-f23c60334157,PRESFOR,01,"",1,AFOR
5d37542d-53e5-4259-9f27-0045fdc12269,PRESFOR,07,"",3,""
a6216e6f-d249-4e58-8a5b-3bfeac802d05,PRESFOR,01,"",3,""
c4b616f9-a8dd-4186-8fdd-f4247428bef9,PRESFOR,02,"",1,AFOR
cf70aa40-19f1-4f97-b259-bbbcc7453763,PRESFOR,02,943c5690-0c13-45ad-97bb-2b27052acf07,"",""
d42c1996-a0c5-41d4-9db6-615d5325edf0,PRESFOR,02,"",3,""
e6d6a629-ef59-41d9-b8dd-c54a2652a952,PRESFOR,02,"",2,AFOR
f060a87b-aca9-4880-bca5-c1cd58012713,PRESFOR,07,"",1,AFOR
f8a709ce-0823-485a-8b10-bdc4845acbc3,PRESFOR,01,"",2,AFOR
1149be79-b7a5-46d1-ac93-ffb040b4671c,PASFOR,29,,,AFOR-PASFOR
2e9ab844-dbde-42cc-915a-c358f413cccf,PASFOR,26,,,AFOR-PASFOR
d172acbc-fd90-4aba-bab1-5bf828d1fbe7,PASFOR,15,,,AFOR-PASFOR
fa1cc3f5-4a53-4c9f-bec8-760ecd5f26d8,PASFOR,09,,,AFOR-PASFOR
be5983f4-b966-431b-b775-012a17817bac,HP,01,,,AFOR-HP
2a56626f-b95c-451e-ba50-dd3ba8d14aaf,HP,02,,,AFOR-HP
622209af-f816-44d2-8266-ff745298a1ca,HP,03,,,AFOR-HP
f595c3c4-23f6-4770-8c6e-b7db7931e5b3,HP,04,,,AFOR-HP
90ad4a88-5b3f-4615-840c-00f082978878,HP,05,,,AFOR-HP
fd9c5969-7e6f-4d8a-8f82-3a6623a41cd8,HP,06,,,AFOR-HP
81f1ba67-4c10-4b27-ae73-ace7bf1d0ef6,HP,07,,,AFOR-HP
14109743-df39-4719-89e3-fec64d3b0d37,HP,08,,,AFOR-HP
cb40023c-63b8-45d5-b010-bc40b8d10766,HP,09,,,AFOR-HP
201edaae-7999-4715-bf84-c85cf6f35477,PRESFOR,12,"",1,AFOR-DSIG
1cd01e44-40f3-4609-958d-b9a5606af8d5,PRESFOR,14,"",1,AFOR-DSIG
56e9b44d-82c4-4bd3-8b77-928962d89d4d,PRESFOR,18,"",1,AFOR-DSIG
8e4a089a-e8b4-44fc-92b0-0c40d0b9496e,PRESFOR,20,"",1,AFOR-DSIG
d38be624-629f-4c68-bd1a-9af858719235,PRESFOR,22,"",1,AFOR-DSIG
5a74c9a7-3794-4ad7-99e3-51db1de627bb,PRESFOR,23,"",1,AFOR-DSIG
0e7e318c-bf45-476e-8281-f9a5b01b214a,PRESFOR,24,"",1,AFOR-DSIG
51a03b5d-4067-49d4-b0a8-64cd37366503,PRESFOR,25,"",1,AFOR-DSIG
0f5de707-b317-457e-af71-0bcd72b49de5,PRESFOR,26,"",1,AFOR-DSIG
98afb021-a2fa-4a89-b1ec-f74305fb6cc4,PRESFOR,28,"",1,AFOR-DSIG
dcac8c6a-ffa6-4acc-81fa-1ec5082f8bd1,PRESFOR,29,"",1,AFOR-DSIG
5a95df61-1e2e-4ca6-9f5d-edbce7e9423f,PRESFOR,30,"",1,AFOR-DSIG
5df2de18-e492-4d99-82da-af90132223ab,PRESFOR,31,"",1,AFOR-DSIG
bd137acc-3b49-4c0d-a8f0-cadb4ad03f69,PRESFOR,12,"",2,AFOR-DSIG
